Postinumero-kunta-avain (vuoden 2021 aluejako);;;;;;;;;;;;;;;;;;
Huom! Postinumeroalueen kunta on määritelty sen mukaan, minkä kunnan puolella suurin osa postinumeroalueen pinta-alasta sijaitsee.;;;;;;;;;;;;;;;;;;
Postinumeroalue;Postinumeroalueen nimi;Postinumeroalueen nimi (sv);Kunta;Kunnan nimi;Kuntaryhmä;Kuntaryhmän nimi;Seutukunta;Seutukunnan nimi;Maakunta;Maakunnan nimi;Suuralue;Suuralueen nimi;AVI;AVI:n nimi;ELY;ELY:n nimi;Sairaanhoitopiiri;Sairaanhoitopiirin nimi
28430;Kartano-Harmaalinna;Kartano-Harmaalinna;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28450;Vanha-Ulvila;Vanha-Ulvila;886;Ulvila;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28500;Keskussairaala-alue-Tiilimäki;Centralsjukhusområde-Tiilimäki;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28540;Pinomäki;Pinomäki;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28560;Lattomeri;Lattomeri;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28580;Niittymaa;Niittymaa;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28600;Vähärauma;Vähärauma;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28610;Musa-Tiiliruukki;Musa-Tiiliruukki;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28660;Pietniemi-Leppäkorpi;Pietniemi-Leppäkorpi;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28760;Kyläsaari;Kyläsaari;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28800;Pihlava;Pihlava;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28840;Yyteri-Kaanaa;Yyteri-Kaanaa;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28880;Mäntyluoto;Mäntyluoto;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
28900;Tahkoluoto-Reposaari;Tahkoluoto-Reposaari;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29100;Luvia Keskus;Luvia centrum;051;Eurajoki;3;Maaseutumaiset kunnat;041;Rauman seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29180;Peränkylä;Peränkylä;051;Eurajoki;3;Maaseutumaiset kunnat;041;Rauman seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29200;Harjavalta Keskus;Harjavalta centrum;079;Harjavalta;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29250;Nakkila Keskus;Nakkila centrum;531;Nakkila;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29270;Hormisto;Hormisto;531;Nakkila;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29280;Järvimaa;Järvimaa;531;Nakkila;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29310;Kaasmarkku;Kaasmarkku;886;Ulvila;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29320;Leineperi;Leineperi;886;Ulvila;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29340;Kullaa Keskus;Kullaa centrum;886;Ulvila;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29350;Palus;Palus;886;Ulvila;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29570;Söörmarkku;Söörmarkku;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29600;Noormarkku Keskus;Noormarkku centrum;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29630;Pomarkku Keskus;Pomarkku centrum;608;Pomarkku;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29640;Honkakoski;Honkakoski;608;Pomarkku;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29680;Kairila;Kairila;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29700;Ahlainen;Ahlainen;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29720;Lamppi;Lamppi;609;Pori;1;Kaupunkimaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29740;Etelämaa;Etelämaa;484;Merikarvia;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29750;Pohjansaha;Pohjansaha;484;Merikarvia;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29760;Köörtilä;Köörtilä;484;Merikarvia;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29790;Tuorila;Tuorila;484;Merikarvia;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29810;Siikainen Keskus;Siikainen centrum;747;Siikainen;3;Maaseutumaiset kunnat;044;Pohjois-Satakunnan seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29830;Sammi;Sammi;747;Siikainen;3;Maaseutumaiset kunnat;044;Pohjois-Satakunnan seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29860;Otamo;Otamo;747;Siikainen;3;Maaseutumaiset kunnat;044;Pohjois-Satakunnan seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29880;Leväsjoki-Saarineva;Leväsjoki-Saarineva;747;Siikainen;3;Maaseutumaiset kunnat;044;Pohjois-Satakunnan seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29900;Merikarvia Keskus-Rannikko;Sastmola centrum-Kustområde;484;Merikarvia;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
29940;Kuvaskangas;Kuvaskangas;484;Merikarvia;3;Maaseutumaiset kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
30100;Forssa Keskus;Forssa centrum;061;Forssa;1;Kaupunkimaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
30300;Viksberg;Viksberg;061;Forssa;1;Kaupunkimaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
30420;Tölö;Tölö;061;Forssa;1;Kaupunkimaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31110;Matku;Matku;061;Forssa;1;Kaupunkimaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31130;Koijärvi;Koijärvi;061;Forssa;1;Kaupunkimaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31140;Menonen;Menonen;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31160;Nuutajärvi;Nuutajärvi;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31170;Savijoki;Savijoki;061;Forssa;1;Kaupunkimaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31230;Susikas;Susikas;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31250;Teuro;Teuro;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31300;Tammela Keskus;Tammela centrum;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31310;Mustiala;Mustiala;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31340;Porras;Porras;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31350;Vistinkoski;Vistinkoski;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31370;Eerikkilän Urheiluopisto;Eerikkilä idrottsinstitut;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31380;Letku-Torro;Letku-Torro;834;Tammela;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31400;Somero Keskus;Somero centrum;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31410;Ylöpirtti;Ylöpirtti;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31450;Häntälä;Häntälä;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31460;Hirsjärvi;Hirsjärvi;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31470;Somerniemi;Somerniemi;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31490;Terttilä;Terttilä;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31500;Koski Tl;Koski Tl;284;Koski Tl;3;Maaseutumaiset kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31520;Pitkäjärvi;Pitkäjärvi;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31530;Pyöli;Pyöli;761;Somero;3;Maaseutumaiset kunnat;022;Salon seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31600;Jokioinen Keskus;Jockis centrum;169;Jokioinen;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31610;Vaulammi;Vaulammi;169;Jokioinen;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31620;Latovainio;Latovainio;169;Jokioinen;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31630;Minkiö;Minkiö;169;Jokioinen;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31640;Humppila Keskus;Humppila centrum;103;Humppila;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31650;Venäjänkangas;Venäjänkangas;103;Humppila;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
31700;Urjala Asemanseutu-Hanhisuo;Urjala stationsamhälle-Hanhisuo;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31720;Urjalankylä-Kehro;Urjalankylä-Kehro;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31730;Honkola;Honkola;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31750;Kehro;Kehro;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31760;Urjala Keskus;Urjala centrum;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31810;Oriniemi;Oriniemi;619;Punkalaidun;3;Maaseutumaiset kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;03;Varsinais-Suomen SHP
31830;Halkivaha;Halkivaha;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31850;Koskioinen;Koskioinen;619;Punkalaidun;3;Maaseutumaiset kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;03;Varsinais-Suomen SHP
31860;Tursa;Tursa;887;Urjala;3;Maaseutumaiset kunnat;063;Etelä-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
31900;Punkalaidun Keskus;Punkalaidun centrum;619;Punkalaidun;3;Maaseutumaiset kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;03;Varsinais-Suomen SHP
31930;Vanttila;Vanttila;619;Punkalaidun;3;Maaseutumaiset kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;03;Varsinais-Suomen SHP
31950;Sadonmaa;Sadonmaa;619;Punkalaidun;3;Maaseutumaiset kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;03;Varsinais-Suomen SHP
31960;Orisuo;Orisuo;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
31970;Kanteenmaa;Kanteenmaa;619;Punkalaidun;3;Maaseutumaiset kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;03;Varsinais-Suomen SHP
32100;Ypäjä Keskus;Ypäjä centrum;981;Ypäjä;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
32140;Ypäjä Asemanseutu;Ypäjä stationsamhälle;981;Ypäjä;3;Maaseutumaiset kunnat;053;Forssan seutukunta;05;Kanta-Häme;2;Etelä-Suomi;1;Etelä-Suomen AVI;04;Hämeen ELY-keskus;05;Kanta-Hämeen SHP
32200;Loimaa Keskus;Loimaa centrum;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32210;Loimaa kk;Loimaa kb;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32250;Kojonkulma;Kojonkulma;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32260;Kojonperä;Kojonperä;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32270;Metsämaa-Murto;Metsämaa-Murto;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32280;Metsäkorpi;Metsäkorpi;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32300;Mellilä;Mellilä;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32410;Niinijoki;Niinijoki;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32430;Ylhäinen;Ylhäinen;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32440;Alastaro Keskus;Alastaro centrum;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32450;Tammiainen;Tammiainen;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32500;Oripää Keskus;Oripää centrum;561;Oripää;3;Maaseutumaiset kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32520;Latva;Latva;561;Oripää;3;Maaseutumaiset kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32560;Virttaa;Virttaa;430;Loimaa;2;Taajaan asutut kunnat;025;Loimaan seutukunta;02;Varsinais-Suomi;2;Etelä-Suomi;2;Lounais-Suomen AVI;02;Varsinais-Suomen ELY-keskus;03;Varsinais-Suomen SHP
32610;Vampula Keskus;Vampula centrum;102;Huittinen;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
32620;Rutava;Rutava;102;Huittinen;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
32700;Huittinen Keskus;Huittinen centrum;102;Huittinen;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
32710;Sampu;Sampu;102;Huittinen;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
32730;Keikyä;Keikyä;790;Sastamala;2;Taajaan asutut kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
32740;Pehula;Pehula;790;Sastamala;2;Taajaan asutut kunnat;068;Lounais-Pirkanmaan seutukunta;06;Pirkanmaa;3;Länsi-Suomi;4;Länsi- ja Sisä-Suomen AVI;05;Pirkanmaan ELY-keskus;06;Pirkanmaan SHP
32760;Suttila;Suttila;102;Huittinen;2;Taajaan asutut kunnat;043;Porin seutukunta;04;Satakunta;3;Länsi-Suomi;2;Lounais-Suomen AVI;03;Satakunnan ELY-keskus;04;Satakunnan SHP
