Postinumero-kunta-avain (vuoden 2021 aluejako);;;;;;;;;;;;;;;;;;
Huom! Postinumeroalueen kunta on määritelty sen mukaan, minkä kunnan puolella suurin osa postinumeroalueen pinta-alasta sijaitsee.;;;;;;;;;;;;;;;;;;
Postinumeroalue;Postinumeroalueen nimi;Postinumeroalueen nimi (sv);Kunta;Kunnan nimi;Kuntaryhmä;Kuntaryhmän nimi;Seutukunta;Seutukunnan nimi;Maakunta;Maakunnan nimi;Suuralue;Suuralueen nimi;AVI;AVI:n nimi;ELY;ELY:n nimi;Sairaanhoitopiiri;Sairaanhoitopiirin nimi
00320;Etelä-Haaga;Södra Haga;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00330;Munkkiniemi;Munksnäs;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00340;Kuusisaari-Lehtisaari;Granö-Lövö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00350;Munkkivuori-Niemenmäki;Munkshöjden-Näshöjden;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00360;Pajamäki;Smedjebacka;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00370;Reimarla;Reimars;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00380;Pitäjänmäen teollisuusalue;Sockenbacka industriområde;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00390;Konala;Kånala;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00400;Pohjois-Haaga;Norra Haga;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00410;Malminkartano;Malmgård;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00420;Kannelmäki;Gamlas;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00430;Maununneva;Magnuskärr;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00440;Lassila;Lassas;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00500;Sörnäinen;Sörnäs;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00510;Etu-Vallila - Alppila;Främre Vallgård - Alphyddan;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00520;Itä-Pasila;Östra Böle;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00530;Kallio;Berghäll;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00540;Kalasatama;Fiskhamnen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00550;Vallila;Vallgård;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00560;Toukola-Vanhakaupunki;Majstad-Gammelstad;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00570;Kulosaari;Brändö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00580;Verkkosaari;Nätholmen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00590;Kaitalahti;Hålvik;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00600;Koskela-Helsinki;Forsby-Helsingfors;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00610;Käpylä;Kottby;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00620;Metsälä-Etelä-Oulunkylä;Krämertsskog-Södra Åggelby;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00630;Maunula-Suursuo;Månsas-Storkärr;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00640;Oulunkylä-Patola;Åggelby-Dammen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00650;Veräjämäki;Grindbacka;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00660;Länsi-Pakila;Västra Baggböle;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00670;Paloheinä;Svedängen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00680;Itä-Pakila;Östra Baggböle;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00690;Tuomarinkylä-Torpparinmäki;Domarby-Torparbacken;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00700;Malmi;Malm;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00710;Pihlajamäki;Rönnbacka;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00720;Pukinmäki-Savela;Bocksbacka-Lerstrand;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00730;Tapanila;Mosabacka;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00740;Siltamäki;Brobacka;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00750;Puistola;Parkstad;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00760;Suurmetsä;Storskog;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00770;Jakomäki - Alppikylä;Jakobacka - Alpbyn;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00780;Tapaninvainio;Staffansslätten;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00790;Viikki;Vik;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00800;Länsi-Herttoniemi;Västra Hertonäs;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00810;Herttoniemi;Hertonäs;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00820;Roihuvuori;Kasberget;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00830;Tammisalo;Tammelund;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00840;Laajasalo;Degerö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
